Delta Code            | Hex Code             
TCM                   | TCN                  
TCN                   | TCN                  
TCP                   | TEM                  
TDK                   | TDP                  
TDM                   | TDP                  
TDN                   | Z7M                  
TDP                   | TDP                  
TEK                   | YHK                  
TEM                   | TEM                  
TEN                   | YHK                  
TEP                   | YHK                  
TFK                   | TFK                  
TFM                   | YBM                  
TFN                   | TFK                  
TFP                   | TFK                  
TGK                   | TFK                  
TGM                   | TGM                  
TGN                   | TFK                  
TGP                   | TFK                  
THK                   | THN                  
THM                   | THN                  
THN                   | THN                  
THP                   | YBM                  
TJK                   | TJP                  
TJM                   | TJP                  
TJN                   | YBM                  
TJP                   | TJP                  
S2K                   | S4P                  
S2M                   | S4P                  
S2N                   | -                    
S2P                   | S4P                  
S3K                   | S3N                  
S3M                   | S3N                  
S3N                   | S3N                  
S3P                   | -                    
S4K                   | S4P                  
S4M                   | S4P                  
S4N                   | TGM                  
S4P                   | S4P                  
S5K                   | -                    
S5M                   | -                    
S5N                   | -                    
S5P                   | RCM                  
S6K                   | S6N                  
S6M                   | S6N                  
S6N                   | S6N                  
S6P                   | -                    
S7K                   | TJP                  
S7M                   | TJP                  
S7N                   | -                    
S7P                   | TJP                  
S8K                   | -                    
S8M                   | -                    
S8N                   | RCM                  
S8P                   | -                    
SAK                   | S6N                  
SAM                   | S6N                  
SAN                   | S6N                  
SAP                   | TGM                  
SBK                   | SCK                  
SBM                   | -                    
SBN                   | SCK                  
SBP                   | SCK                  
SCK                   | SCK                  
SCM                   | RCM                  
SCN                   | SCK                  
SCP                   | SCK                  
SDK                   | R7N                  
SDM                   | R7N                  
SDN                   | R7N                  
SDP                   | -                    
SEK                   | -                    
SEM                   | -                    
SEN                   | -                    
SEP                   | -                    
SFK                   | SGK                  
SFM                   | -                    
SFN                   | SGK                  
SFP                   | SGK                  
SGK                   | SGK                  
SGM                   | TGM                  
SGN                   | SGK                  
SGP                   | SGK                  
SHK                   | S3N                  
SHM                   | S3N                  
SHN                   | S3N                  
SHP                   | -                    
SJK                   | T7P                  
SJM                   | T7P                  
SJN                   | -                    
SJP                   | T7P                  
R2K                   | R2N                  
R2M                   | R2N                  
R2N                   | R2N                  
R2P                   | RHM                  
R3K                   | REP                  
R3M                   | REP                  
R3N                   | RHM                  
R3P                   | REP                  
R4K                   | R4K                  
R4M                   | RHM                  
R4N                   | R4K                  
R4P                   | R4K                  
R5K                   | R2N                  
R5M                   | R2N                  
R5N                   | R2N                  
R5P                   | RCM                  
R6K                   | R8P                  
R6M                   | R8P                  
R6N                   | RAM                  
R6P                   | R8P                  
R7K                   | R7N                  
R7M                   | R7N                  
R7N                   | R7N                  
R7P                   | RAM                  
R8K                   | R8P                  
R8M                   | R8P                  
R8N                   | RCM                  
R8P                   | R8P                  
RAK                   | R4K                  
RAM                   | RAM                  
RAN                   | R4K                  
RAP                   | R4K                  
RBK                   | RBK                  
RBM                   | WFM                  
RBN                   | RBK                  
RBP                   | RBK                  
RCK                   | RBK                  
RCM                   | RCM                  
RCN                   | RBK                  
RCP                   | RBK                  
RDK                   | -                    
RDM                   | -                    
RDN                   | -                    
RDP                   | WFM                  
REK                   | REP                  
REM                   | REP                  
REN                   | WFM                  
REP                   | REP                  
RFK                   | RJN                  
RFM                   | RJN                  
RFN                   | RJN                  
RFP                   | RHM                  
RGK                   | RGP                  
RGM                   | RGP                  
RGN                   | RHM                  
RGP                   | RGP                  
RHK                   | WEK                  
RHM                   | RHM                  
RHN                   | WEK                  
RHP                   | WEK                  
RJK                   | RJN                  
RJM                   | RJN                  
RJN                   | RJN                  
RJP                   | Z7M                  
YHB                   | Y38                  
YJ4                   | YJ4                  
TEC                   | TED                  
TJC                   | TJE                  
ZBE                   | ZBB                  
Z6C                   | ZA8                  
YD2                   | YD4                  
SCG                   | S5A                  
SJ8                   | SFD                  
YC2                   | YC6                  
XD8                   | XDC                  
THB                   | YEF                  
T8D                   | T8D                  
SA3                   | SA4                  
WDH                   | WDF                  
T2H                   | T3B                  
TD3                   | TDE                  
VB5                   | VBC                  
YF8                   | YFC                  
YA7                   | ZJ7                  
RJ6                   | RJA                  
WJ7                   | WFD                  
YFG                   | YFH                  
RC2                   | RC2                  
RFH                   | RF4                  
WD2                   | WD5                  
XHG                   | XHH                  
RCG                   | RCJ                  
W32                   | W3H                  
R37                   | RHD                  
RC7                   | RC7                  
WF4                   | WF2                  
RG5                   | RGE                  
XAG                   | XAH                  
Z3G                   | ZEA                  
ZF4                   | ZHG                  
X6D                   | X6B                  
RBH                   | RB3                  
RFB                   | RFB                  
T86                   | T82                  
W3A                   | W3A                  
WJB                   | WJ5                  
TBB                   | TB5                  
T5E                   | T53                  
RBD                   | RE8                  
X7A                   | X7G                  
X66                   | -                    
W3F                   | W3H                  
X6J                   | X6F                  
TCD                   | TBF                  
YJ5                   | YFC                  
SA8                   | S6C                  
THF                   | THH                  
W3J                   | W57                  
WC8                   | Z8C                  
Z4E                   | Z4B                  
YA3                   | YA3                  
Z63                   | Z63                  
ZFE                   | ZF5                  
TBA                   | TDG                  
VJA                   | VJ6                  
W3G                   | W3H                  
WDA                   | WBG                  
R4H                   | R43                  
YJC                   | YFC                  
YHG                   | YFA                  
WD6                   | Z7D                  
ZC7                   | ZC8                  
TF8                   | TF6                  
Y44                   | Y42                  
S4C                   | S4E                  
X73                   | -                    
TG7                   | TG7                  
TC6                   | TCA                  
TAJ                   | TG7                  
ZA4                   | ZAG                  
RD4                   | RDH                  
Z7D                   | Z7D                  
YCH                   | YC3                  
XB4                   | XB6                  
VF8                   | VF8                  
WGD                   | W48                  
WJH                   | WJF                  
S64                   | S6G                  
W24                   | W4G                  
TJ6                   | TJ8                  
X7F                   | X6B                  
W38                   | W3C                  
ZG2                   | ZGH                  
YJB                   | YJB                  
W57                   | W57                  
RE4                   | REG                  
SA5                   | S6C                  
Z6H                   | Z63                  
R22                   | R2H                  
V47                   | V4A                  
TE7P                  | TE6K                 
RE8P                  | RE5K                 
SE6K                  | SE6N                 
Z7DM                  | Z7DM                 
YDFN                  | YDFN                 
XJGK                  | XJFK                 
W32P                  | W3HM                 
T74P                  | T72P                 
RF3P                  | RF3P                 
YE5K                  | YE8K                 
YB2M                  | YB2M                 
T2JK                  | T2JP                 
SA5K                  | SA5N                 
W3BK                  | W3BK                 
Y6EM                  | Y6EM                 
R2BK                  | R2BK                 
WJJN                  | WJFM                 
VAAK                  | VA6N                 
RJAP                  | RJ4K                 
TCDP                  | TBFM                 
XAJP                  | XG7M                 
WHJP                  | WF7M                 
WBHP                  | WCBM                 
WH2P                  | WH4M                 
VADM                  | VABP                 
TJ6K                  | TJAN                 
Y22P                  | Y24M                 
X4CP                  | X45M                 
YJBN                  | YJCK                 
W7DK                  | W7BP                 
RCBN                  | RCEN                 
SH4P                  | SHAK                 
Y3GP                  | Y3FK                 
TBJN                  | TBFM                 
V24M                  | V24N                 
XB2M                  | XB6M                 
S7GP                  | S7GK                 
SA6P                  | SA6P                 
Y87P                  | Y6JP                 
TFHP                  | TFFP                 
X74P                  | -                    
RBCP                  | RB5P                 
Z3AP                  | ZEGP                 
TEDN                  | YHJK                 
RB5K                  | RB5P                 
W42M                  | W42P                 
WHDP                  | WHBM                 
SGAM                  | TAGP                 
X3GP                  | X3GK                 
Y8GP                  | Y8GK                 
RBGP                  | RDAM                 
R3AK                  | R36N                 
S8HN                  | S83N                 
X6EP                  | -                    
WGCP                  | WG5P                 
S5AP                  | S54K                 
W33P                  | W3EP                 
TD2K                  | TD2P                 
Y4JN                  | YADK                 
RCHN                  | RB3M                 
RA7N                  | RA6K                 
V6DK                  | V7JK                 
YH7N                  | YH7K                 
RFEP                  | RF3P                 
T44N                  | T2GM                 
T87P                  | T86K                 
Y2CK                  | Y2CK                 
RG3M                  | RGHN                 
W3AM                  | W3AM                 
REAN                  | REAN                 
RDEM                  | RDEP                 
XAAK                  | XA4K                 
WEHN                  | WE3M                 
YDCP                  | YDCK                 
X7GK                  | X7FK                 
V76P                  | V77K                 
YH3N                  | YH2K                 
TJ4N                  | TJGM                 
SAGM                  | TGAP                 
WDEM                  | WD5M                 
Z5EK                  | Z5EK                 
WCEN                  | WCBM                 
YA2K                  | YA2K                 
WBDK                  | WBDP                 
YG3P                  | YG5M                 
RCFN                  | RCJM                 
X8AP                  | X8GM                 
TDFK                  | TDFK                 
Z8HK                  | Z5EK                 
ZGDK                  | ZGDN                 
X8CM                  | X8CN                 
W4CM                  | W4CN                 
WB4N                  | WBGM                 
V46P                  | V48P                 
TGBM                  | TGEN                 
S3BP                  | S3BK                 
RF4M                  | RF4M                 
SD2M                  | SD5N                 
TJ5C                  | TJ28                 
S42F                  | S43B                 
Z8HH                  | Z5E3                 
R3FJ                  | R3FJ                 
WJ4D                  | X7G7                 
VH4G                  | VH4G                 
R625                  | R625                 
R224                  | R22H                 
S8JH                  | S8JF                 
VC7A                  | V5JG                 
X32G                  | X34G                 
RECA                  | RECA                 
Z755                  | Z755                 
XH23                  | XH2H                 
W2CC                  | W58C                 
TCFB                  | TCFB                 
TCFC                  | TCJC                 
WDH2                  | WDH4                 
WEFH                  | WEGB                 
WBJC                  | WBJE                 
THA2                  | THA2                 
X4A3                  | X4A4                 
RGCH                  | RGCH                 
X6A2                  | X6A4                 
XBBE                  | XBCF                 
S7HC                  | S73C                 
RCE8                  | RCEC                 
W6E2                  | W6EE                 
WJ74                  | X7JG                 
YCEF                  | YCE4                 
RGHD                  | RFEF                 
T327                  | T34J                 
RCJ7                  | RCJ7                 
RH3F                  | RHEA                 
W26D                  | W27F                 
YDEJ                  | YDEF                 
YB5C                  | YB55                 
Y63E                  | Y63B                 
X7B6                  | X7B6                 
ZEH6                  | ZEH2                 
RA85                  | RA8C                 
VAFF                  | VAFJ                 
V8DH                  | V8D4                 
TF5H                  | TF8B                 
Z3D7                  | ZH87                 
TCB7                  | TBF7                 
Z5F3                  | Z5G3                 
WEFB                  | WEFE                 
RJBF                  | RJDA                 
V63C                  | V6H8                 
